geo,nace_r2,AIIE_Index,Total_Employment
HR,K,0.6379892870079891,31.700000000000003
HR,L,0.5286811926912178,5.7
HR,M,0.673493778979752,69.8
HR,N,0.44684304483660464,44.1
HR,O,0.5916830063646441,93.4
HR,P,0.6580808659570334,127.30000000000001
HR,Q,0.5600655642832075,118.9
HR,R,0.6296525969911467,24.799999999999997
HR,S,0.47921052252724144,38.0
HU,A,0.2968549447122107,203.7
HU,C,0.36502995598283694,979.0
HU,D,0.5039576800538333,35.0
HU,E,0.3586686990716644,53.2
HU,F,0.3108011944271115,380.7
HU,G,0.4693500165003079,593.3
HU,H,0.39687441367472365,288.3
HU,I,0.4232994427951481,181.3
HU,J,0.6872886962672302,165.1
HU,K,0.6381202760130218,96.1
HU,L,0.5516394937566491,34.6
HU,M,0.6864552875958044,221.5
HU,N,0.4411928858165862,135.6
HU,O,0.5127278323301038,389.6
HU,P,0.6535647600165264,359.0
HU,Q,0.5489654155187224,312.0
HU,R,0.597490897613878,78.3
HU,S,0.47714406792117264,112.7
IE,A,0.2603091509225112,96.2
IE,C,0.44139904725010265,285.1
IE,D,0.7490118690118689,6.4
IE,F,0.34884499613319897,167.0
IE,G,0.49887904691080776,317.6
IE,H,0.34944820783101005,104.9
IE,I,0.4676952005806341,162.5
IE,J,0.6810305456492598,162.20000000000002
IE,K,0.6868639656010143,118.3
IE,M,0.6754345329982827,164.6
IE,N,0.4502896636104826,105.1
IE,O,0.5912061656175084,124.7
IE,P,0.6848415563406051,208.20000000000002
IE,Q,0.6051993642294637,337.90000000000003
IE,R,0.6404083697260634,44.2
IE,S,0.5186323429505112,42.599999999999994
IS,A,0.31107566424553607,7.8
IS,C,0.39947006653044614,17.9
IS,F,0.3190611435724409,15.4
IS,G,0.5032564023293673,24.5
IS,H,0.4291381161712176,13.3
IS,I,0.49784254686751683,10.600000000000001
IS,J,0.6943481525003266,9.2
IS,K,0.685797879332967,5.7
IS,L,0.547255291005291,0.6
IS,M,0.6680997439430112,10.700000000000001
IS,N,0.5227805611559581,6.0
IS,O,0.6573852283814619,11.8
IS,P,0.6563416983668914,26.1
IS,Q,0.6015421148112947,26.4
IS,R,0.6127303051496172,7.800000000000001
IS,S,0.49929391766741743,4.1
IT,A,0.24327282945400924,875.0
IT,B,0.41576881831336565,31.3
IT,C,0.38740615537469575,4258.3
IT,D,0.5370390062183813,118.0
IT,E,0.3754842843592175,246.6
IT,F,0.3149568530597227,1550.1999999999998
IT,G,0.47046179253960263,3137.1
IT,H,0.39566568454941725,1167.2
IT,I,0.4832118101775191,1405.0
IT,J,0.6404095743080059,686.4
IT,K,0.6089423189382738,602.9
IT,L,0.5298964505765296,155.3
IT,M,0.6642969628678315,1511.3000000000002
IT,N,0.39190847749498386,1006.7
IT,O,0.5810221458745218,926.0
IT,P,0.6650886270141222,1603.5
IT,Q,0.5653633875965656,1882.1
IT,R,0.5733173215842873,306.7
IT,S,0.4568825049140881,745.9
IT,T,0.30813686228187687,637.0
IT,U,0.673227094216537,15.9
LT,A,0.249497065809297,75.4
LT,B,0.23080540858318638,2.6
LT,C,0.374996414433358,223.3
LT,D,0.5517866848785323,10.5
LT,E,0.392193114079422,12.3
LT,F,0.35629343895805704,109.8
LT,G,0.5018307730043925,206.3
LT,H,0.44073157894965603,103.5
LT,I,0.4624321756896425,38.5
LT,J,0.7123649454128412,55.9
LT,K,0.6523320707236523,30.8
LT,L,0.5435974908196383,14.4
LT,M,0.6868309844342446,68.89999999999999
LT,N,0.4271041795859945,58.7
LT,O,0.6129478900519273,87.2
LT,P,0.615800600793378,126.70000000000002
LT,Q,0.6176899206766289,109.5
LT,R,0.6223615593626057,29.200000000000003
LT,S,0.5060303227786443,35.6
LU,A,0.23457254246727932,2.4
LU,C,0.5241790053173683,8.3
LU,D,0.43414092121575115,1.3
LU,F,0.375645298275742,14.6
LU,G,0.53578013246132,24.4
