geo,nace_r2,time_period,gva_millions,hours_thousands,labor_productivity,AIIE_Index
SI,O,2013,2050.0,78207.0,26.212487373253033,0.6481160373494541
SI,O,2014,2058.8,79307.0,25.959877438309356,0.6481160373494541
SI,O,2015,2063.3,80269.0,25.704817550984814,0.6481160373494541
SI,O,2016,2103.7,78880.0,26.6696247464503,0.6481160373494541
SI,O,2017,2140.3,78760.0,27.17496190959878,0.6481160373494541
SI,O,2018,2167.8,78689.0,27.54895855837538,0.6481160373494541
SI,O,2019,2188.9,78738.0,27.799791714292972,0.6481160373494541
SI,O,2020,2230.6,83096.0,26.843650717242706,0.6481160373494541
SI,O,2021,2285.9,83220.0,27.46815669310262,0.6481160373494541
SI,O,2022,2344.8,79121.0,29.63562139002288,0.6481160373494541
SI,O,2023,2361.4,79013.0,29.886221254730234,0.6481160373494541
SI,O,2024,2409.3,81141.0,29.692757052538177,0.6481160373494541
SK,O,2008,4006.4,263742.0,15.190602937719438,0.5804014226877168
SK,O,2009,4566.9,265670.0,17.1901230850303,0.5804014226877168
SK,O,2010,4840.4,262939.0,18.40883246684592,0.5804014226877168
SK,O,2011,4460.6,261146.0,17.080866641648733,0.5804014226877168
SK,O,2012,4554.4,258065.0,17.648266909499544,0.5804014226877168
SK,O,2013,4684.7,257176.0,18.215929946806853,0.5804014226877168
SK,O,2014,4178.5,260343.0,16.049980218404183,0.5804014226877168
SK,O,2015,4138.2,269688.0,15.344397970988696,0.5804014226877168
SK,O,2016,4826.1,273887.0,17.620770609777026,0.5804014226877168
SK,O,2017,4892.7,272238.0,17.972142022788884,0.5804014226877168
SK,O,2018,5082.8,270927.0,18.760773197208106,0.5804014226877168
SK,O,2019,5525.9,270602.0,20.420765552361033,0.5804014226877168
SK,O,2020,5676.3,261369.0,21.71757170896319,0.5804014226877168
SK,O,2021,5834.5,256037.0,22.787722087042106,0.5804014226877168
SK,O,2022,5776.2,254984.0,22.653186082263986,0.5804014226877168
SK,O,2023,5648.5,254469.0,22.197202802698953,0.5804014226877168
SK,O,2024,5944.9,258586.0,22.990030396077124,0.5804014226877168
AT,P,2008,14393.4,365004.0,39.43354045435118,0.6738476774519253
AT,P,2009,14543.0,361685.0,40.20902166249637,0.6738476774519253
AT,P,2010,14790.3,363374.0,40.70269199227242,0.6738476774519253
AT,P,2011,14904.8,378895.0,39.33754734161179,0.6738476774519253
AT,P,2012,14954.4,375959.0,39.776677776034084,0.6738476774519253
AT,P,2013,14903.9,376466.0,39.58896686553368,0.6738476774519253
AT,P,2014,14959.6,374743.0,39.91962491627596,0.6738476774519253
AT,P,2015,15202.5,383000.0,39.693211488250654,0.6738476774519253
AT,P,2016,15403.0,393633.0,39.13035746494831,0.6738476774519253
AT,P,2017,15585.3,396855.0,39.27202630683751,0.6738476774519253
AT,P,2018,15777.5,406793.0,38.78508233917496,0.6738476774519253
AT,P,2019,15932.7,410226.0,38.83883517865762,0.6738476774519253
AT,P,2020,15770.0,378060.0,41.712955615510765,0.6738476774519253
AT,P,2021,16230.5,392736.0,41.32674366495559,0.6738476774519253
AT,P,2022,16634.6,390490.0,42.59929831749852,0.6738476774519253
AT,P,2023,17164.9,403879.0,42.50010522953657,0.6738476774519253
AT,P,2024,17887.0,413758.0,43.23058406121453,0.6738476774519253
BE,P,2008,21603.7,419685.0,51.47598794333846,0.6989696446191214
BE,P,2009,21457.3,429740.0,49.930888444175544,0.6989696446191214
BE,P,2010,21821.2,435358.0,50.12242797881284,0.6989696446191214
BE,P,2011,21917.6,444373.0,49.32252859647188,0.6989696446191214
BE,P,2012,22415.5,446909.0,50.15674331910971,0.6989696446191214
BE,P,2013,22345.1,451572.0,49.48291745280929,0.6989696446191214
BE,P,2014,23036.9,457028.0,50.40588322816108,0.6989696446191214
BE,P,2015,23253.3,462331.0,50.29578375665919,0.6989696446191214
BE,P,2016,23509.3,464075.0,50.65840650756881,0.6989696446191214
BE,P,2017,23640.7,471241.0,50.166899739199266,0.6989696446191214
BE,P,2018,23812.5,480681.0,49.53909141405631,0.6989696446191214
BE,P,2019,24000.1,490798.0,48.90015851735337,0.6989696446191214
BE,P,2020,23608.3,482389.0,48.940377993693886,0.6989696446191214
BE,P,2021,23503.4,497913.0,47.203828781333286,0.6989696446191214
BE,P,2022,24305.6,516473.0,47.060736960112145,0.6989696446191214
BE,P,2023,24546.9,522407.0,46.98807634660332,0.6989696446191214
BE,P,2024,24604.1,527901.0,46.60741313238656,0.6989696446191214
BG,P,2008,1352.6,285848.0,4.731885477596485,0.6553379176457569
BG,P,2009,1314.0,271288.0,4.843561086373153,0.6553379176457569
BG,P,2010,1287.1,258033.0,4.988121674359481,0.6553379176457569
BG,P,2011,1225.8,253929.0,4.827333624753376,0.6553379176457569
BG,P,2012,1263.3,256407.0,4.926932572043665,0.6553379176457569
BG,P,2013,1121.2,260283.0,4.307619014687859,0.6553379176457569
BG,P,2014,1267.2,261439.0,4.847019763692487,0.6553379176457569
BG,P,2015,1331.2,262198.0,5.077079153921845,0.6553379176457569
BG,P,2016,1245.8,262827.0,4.740000076095682,0.6553379176457569
BG,P,2017,1370.2,260708.0,5.255688356322016,0.6553379176457569
BG,P,2018,1376.2,260541.0,5.282086120802484,0.6553379176457569
BG,P,2019,1392.4,262907.0,5.296169367875333,0.6553379176457569
BG,P,2020,1376.5,254637.0,5.405734437650459,0.6553379176457569
BG,P,2021,1355.0,265541.0,5.102790152933069,0.6553379176457569
BG,P,2022,1438.7,260529.0,5.522225932621704,0.6553379176457569
BG,P,2023,1484.3,270167.0,5.494009260938604,0.6553379176457569
BG,P,2024,1560.2,272743.0,5.720403456733995,0.6553379176457569
CH,P,2008,2615.2,405336.0,6.451931237294491,0.6823544016770126
CH,P,2009,2595.0,413765.0,6.271675951325028,0.6823544016770126
CH,P,2010,2478.4,399929.0,6.197099985247381,0.6823544016770126
CH,P,2011,2650.0,404591.0,6.549824390557378,0.6823544016770126
CH,P,2012,2607.0,414925.0,6.283063204193528,0.6823544016770126
CH,P,2013,2628.6,428311.0,6.1371293289222075,0.6823544016770126
CH,P,2014,2659.9,438338.0,6.068148323896172,0.6823544016770126
CH,P,2015,2611.5,449326.0,5.812038475405385,0.6823544016770126
CH,P,2016,2600.3,459074.0,5.664228425046942,0.6823544016770126
CH,P,2017,2618.1,465800.0,5.6206526406182915,0.6823544016770126
CH,P,2018,2630.1,463474.0,5.67475198177244,0.6823544016770126
CH,P,2019,2606.5,468223.0,5.5667918918976635,0.6823544016770126
CH,P,2020,2310.9,495789.0,4.661055408651665,0.6823544016770126
CH,P,2021,2508.8,501618.0,5.0014154197018446,0.6823544016770126
CH,P,2022,2698.2,502259.0,5.372128722432052,0.6823544016770126
CH,P,2023,2788.1,514795.0,5.415942268281549,0.6823544016770126
CY,P,2008,1038.6,28703.0,36.18437097167543,0.7080338588271589
CY,P,2009,1087.1,30085.0,36.1342861891308,0.7080338588271589
CY,P,2010,1127.4,31813.0,35.43834281583001,0.7080338588271589
CY,P,2011,1068.9,32749.0,32.63916455464289,0.7080338588271589
CY,P,2012,1038.0,33011.0,31.44406409984551,0.7080338588271589
CY,P,2013,1048.5,32492.0,32.269481718576884,0.7080338588271589
CY,P,2014,1069.9,33272.0,32.15616734792018,0.7080338588271589
CY,P,2015,1061.0,34306.0,30.927534542062613,0.7080338588271589
CY,P,2016,1109.2,35806.0,30.978048371781266,0.7080338588271589
CY,P,2017,1150.9,37155.0,30.975642578387838,0.7080338588271589
CY,P,2018,1240.7,39915.0,31.08355254916698,0.7080338588271589
CY,P,2019,1276.6,42426.0,30.09003912695045,0.7080338588271589
CY,P,2020,1321.7,43409.0,30.447603031629388,0.7080338588271589
CY,P,2021,1362.0,45829.0,29.7191734491261,0.7080338588271589
CY,P,2022,1463.8,46798.0,31.27911449207231,0.7080338588271589
CY,P,2023,1586.5,47448.0,33.43660428258303,0.7080338588271589
CY,P,2024,1613.0,48624.0,33.17291872326423,0.7080338588271589
CZ,P,2008,6061.1,451676.0,13.419132298373171,0.6418592330443623
CZ,P,2009,6135.0,451477.0,13.588732094879695,0.6418592330443623
CZ,P,2010,6083.6,455804.0,13.34696492351976,0.6418592330443623
CZ,P,2011,6173.9,461477.0,13.378564912227478,0.6418592330443623
CZ,P,2012,6219.7,460038.0,13.519970089427396,0.6418592330443623
CZ,P,2013,6328.2,473343.0,13.369163587504199,0.6418592330443623
CZ,P,2014,6371.8,480907.0,13.249547209751574,0.6418592330443623
CZ,P,2015,6356.7,480578.0,13.22719724997815,0.6418592330443623
CZ,P,2016,6382.5,493899.0,12.922682572752729,0.6418592330443623
CZ,P,2017,6583.4,559655.0,11.763318472987823,0.6418592330443623
CZ,P,2018,6760.7,571018.0,11.839731847332308,0.6418592330443623
CZ,P,2019,7002.8,615014.0,11.386407463895132,0.6418592330443623
CZ,P,2020,7043.7,583673.0,12.067887327321976,0.6418592330443623
CZ,P,2021,7228.9,632936.0,11.421217943046374,0.6418592330443623
CZ,P,2022,7657.2,678326.0,11.288377564769743,0.6418592330443623
CZ,P,2023,7715.0,687847.0,11.216157081443985,0.6418592330443623
CZ,P,2024,7734.3,699990.0,11.049157845112072,0.6418592330443623
DE,P,2008,108009.1,2942227.0,36.70998192865473,0.6891059439251956
DE,P,2009,108098.1,2974766.0,36.338354008348894,0.6891059439251956
DE,P,2010,107475.0,3068161.0,35.02912656799953,0.6891059439251956
DE,P,2011,108474.0,3100729.0,34.98338616499539,0.6891059439251956
DE,P,2012,107326.6,3108316.0,34.52885742633632,0.6891059439251956
DE,P,2013,105734.2,3163179.0,33.42656232859411,0.6891059439251956
DE,P,2014,105635.3,3206556.0,32.94353817616159,0.6891059439251956
DE,P,2015,106931.0,3239534.0,33.00814252914154,0.6891059439251956
DE,P,2016,110778.6,3262515.0,33.95497032197553,0.6891059439251956
DE,P,2017,109047.7,3289664.0,33.14858295558452,0.6891059439251956
DE,P,2018,106881.5,3317406.0,32.218395939478015,0.6891059439251956
DE,P,2019,107662.9,3361341.0,32.02974646130815,0.6891059439251956
DE,P,2020,98909.4,3303620.0,29.939702508157715,0.6891059439251956
DE,P,2021,99018.2,3389347.0,29.21453601534455,0.6891059439251956
DE,P,2022,107662.9,3402187.0,31.645203511741126,0.6891059439251956
DE,P,2023,109888.4,3431062.0,32.02751801045857,0.6891059439251956
DE,P,2024,109918.1,3455838.0,31.806496716570624,0.6891059439251956
DK,P,2008,13494.4,295247.0,45.705460174023784,0.6679832487657806
DK,P,2009,13696.6,302900.0,45.218223836249585,0.6679832487657806
DK,P,2010,13644.4,305621.0,44.64483788744883,0.6679832487657806
DK,P,2011,13542.9,307021.0,44.110663439960135,0.6679832487657806
DK,P,2012,13471.0,304955.0,44.173730550409076,0.6679832487657806
DK,P,2013,13546.2,303176.0,44.68097738607278,0.6679832487657806
DK,P,2014,14648.5,312983.0,46.80286149726982,0.6679832487657806
DK,P,2015,15846.9,316751.0,50.02951845455894,0.6679832487657806
DK,P,2016,16072.6,319019.0,50.38132525022021,0.6679832487657806
DK,P,2017,15780.6,313648.0,50.3130898331888,0.6679832487657806
DK,P,2018,15739.4,311617.0,50.50879765866432,0.6679832487657806
DK,P,2019,15723.2,310716.0,50.60312310920584,0.6679832487657806
DK,P,2020,15630.9,304009.0,51.4159120289202,0.6679832487657806
DK,P,2021,15981.6,314927.0,50.746998510765984,0.6679832487657806
DK,P,2022,15813.4,318041.0,49.72126235296707,0.6679832487657806
DK,P,2023,15487.0,319632.0,48.45259548480753,0.6679832487657806
DK,P,2024,15477.4,321489.0,48.142860253383475,0.6679832487657806
EA20,P,2008,447834.6,12650658.0,35.40010329897465,0.6753605758142109
EA20,P,2009,446117.8,12777717.0,34.913733024451865,0.6753605758142109
EA20,P,2010,444877.0,12826209.0,34.684995387179484,0.6753605758142109
EA20,P,2011,447059.4,12803632.0,34.916608037469366,0.6753605758142109
EA20,P,2012,443712.2,12753190.0,34.79225197774048,0.6753605758142109
EA20,P,2013,440909.5,12735632.0,34.6201507706881,0.6753605758142109
EA20,P,2014,442017.5,12906306.0,34.248180695545265,0.6753605758142109
EA20,P,2015,446003.2,13057406.0,34.15710593666154,0.6753605758142109
EA20,P,2016,452987.3,13259251.0,34.1638679288898,0.6753605758142109
EA20,P,2017,454308.7,13237033.0,34.32103704810587,0.6753605758142109
EA20,P,2018,454760.9,13428819.0,33.86454907166446,0.6753605758142109
EA20,P,2019,455862.9,13537967.0,33.6729214955244,0.6753605758142109
EA20,P,2020,434169.0,13077603.0,33.19943264832248,0.6753605758142109
EA20,P,2021,443793.5,13769325.0,32.230592276672965,0.6753605758142109
EA20,P,2022,464388.3,14110810.0,32.910109341703276,0.6753605758142109
EA20,P,2023,469010.3,14345422.0,32.6940748065829,0.6753605758142109
EA20,P,2024,470226.4,14537802.0,32.34508215203372,0.6753605758142109
EE,P,2008,678.0,98416.0,6.889123719720371,0.6477648292704156
