STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2016,,3730.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2017,,4370.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2018,,4715.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2019,,5308.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2020,,5417.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2021,,6637.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2022,,6112.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SE,Sweden,2023,,6336.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2008,,136.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2009,,119.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",SI,Slovenia,2010,,116.4,,,,,
